Activity,Region,Category,Location,Environment,Health & Safety,Social,Grand Total,Year to Analyze
IPS,MEA,Office,Abu Dhabi,50%,0%,0%,17%,2024
IPS,NORAM,Office + R&D,Anaheim,64%,0%,0%,21%,2024
IPS,NORAM,Office,Bedford,64%,0%,0%,21%,2024
IPS,EUROPE,R&D,Bochum,93%,91%,100%,95%,2024
ISI,LATAM,R&D,Bogota,86%,82%,100%,89%,2024
IST,LATAM,SC,Bogota SC,93%,91%,0%,61%,2024
IPS,NORAM,Office,Brentwood,43%,0%,0%,14%,2024
IST,EUROPE,SC,Bucharest,86%,64%,100%,83%,2024
IST,EUROPE,SC,Budapest,57%,73%,67%,66%,2024
ISI,MEA,Office + R&D,Cairo,29%,0%,67%,32%,2024
IPS,APAC,Office,Canberra,71%,64%,67%,67%,2024
IPS,MEA,R&D,Casablanca,64%,82%,100%,82%,2024
IST,NORAM,SC,Chantilly,0%,0%,0%,0%,2024
IST,LATAM,Manufacturing,Cotia,71%,91%,100%,87%,2024
IST,EUROPE,SC,Dijon,86%,82%,100%,89%,2024
IST,MEA,SC,Dubai,0%,0%,0%,0%,2024
IPS,NORAM,Office,Eden Prairie,64%,0%,0%,21%,2024
IST,NORAM,Manufacturing,Exton,64%,0%,0%,21%,2024
IST,EUROPE,SC,Flintbek,86%,82%,33%,67%,2024
IPS,NORAM,Office,Fort Wayne,64%,0%,0%,21%,2024
ISI,EUROPE,Manufacturing,Haarlem,86%,82%,100%,89%,2024
IST,APAC,Office,Hanoi,0%,0%,0%,0%,2024
IPS,NORAM,Manufacturing,Harrisburg,86%,0%,0%,29%,2024
IST,APAC,Office,Hong Kong,0%,0%,67%,22%,2024
HoldCo,EUROPE,HQ,IDEMIA Head Office,0%,0%,0%,0%,2024
ISI,EUROPE,Manufacturing,JV Aleat Tirana,0%,0%,0%,0%,2024
IST,APAC,R&D,Jakarta,0%,0%,0%,0%,2024
IST,APAC,SC,Karachi,0%,0%,0%,0%,2024
IST,APAC,SC,Kawasaki,57%,0%,67%,41%,2024
IST,EUROPE,SC,Kobylka,36%,82%,33%,50%,2024
IST,APAC,SC,Kuala Lumpur,50%,64%,0%,38%,2024
IST,LATAM,SC,Lima,71%,64%,67%,67%,2024
IST,MEA,SC,Limbro,86%,82%,100%,89%,2024
IST,EUROPE,R&D,Lodz,57%,73%,0%,43%,2024
IST,NORAM,SC,Los Angeles,7%,9%,0%,5%,2024
IST,EUROPE,SC,Madrid,43%,45%,33%,41%,2024
IST,APAC,R&D,Makati,0%,0%,0%,0%,2024
IST,EUROPE,R&D,Malaga,0%,0%,33%,11%,2024
IST,APAC,SC,Manila,57%,55%,67%,59%,2024
IST,LATAM,SC,Medelin,71%,64%,0%,45%,2024
ISI,LATAM,Office,Mexico DF,86%,82%,100%,89%,2024
IST,LATAM,SC,Mexico SC,93%,91%,67%,83%,2024
IST,EUROPE,R&D,Meyreuil,93%,91%,100%,95%,2024
IST,EUROPE,SC,Milan,79%,82%,100%,87%,2024
IPS,APAC,Manufacturing,Noida Biometric,86%,82%,67%,78%,2024
IST,APAC,Manufacturing,Noida Factory,71%,0%,67%,46%,2024
IST,APAC,HQ,Noida HO,0%,0%,0%,0%,2024
IPS,NORAM,Office,Oakville,0%,0%,0%,0%,2024
IPS,EUROPE,R&D,Osny,86%,82%,100%,89%,2024
ISI,EUROPE,Manufacturing,Ostrava,7%,82%,100%,63%,2024
IST,EUROPE,Data Center,Otopeni,0%,73%,67%,46%,2024
IST,EUROPE,R&D,Pessac,0%,0%,0%,0%,2024
IST,EUROPE,SC,Prague,57%,82%,100%,80%,2024
IPS,NORAM,Office,Reston,64%,0%,0%,21%,2024
IST,EUROPE,SC,Riga,86%,82%,100%,89%,2024
IST,MEA,SC,Riyadh,7%,0%,33%,13%,2024
IST,EUROPE,Office,Roedovre,93%,91%,100%,95%,2024
IPS,NORAM,Manufacturing,Sacramento,57%,0%,0%,19%,2024
IPS,EUROPE,Manufacturing,Saint-Etienne du Rouvray,71%,82%,100%,84%,2024
ISI,LATAM,R&D,Santiago,86%,91%,100%,92%,2024
IST,LATAM,Office,Sao Paulo,71%,0%,100%,57%,2024
IST,APAC,Manufacturing,Shenzhen,71%,91%,100%,87%,2024
IPS,APAC,Office + R&D,Singapore,57%,55%,67%,59%,2024
IST,EUROPE,SC,Sittard,86%,82%,100%,89%,2024
IST,APAC,SC,Smithfield,93%,91%,100%,95%,2024
IST,EUROPE,R&D,Sophia,0%,0%,33%,11%,2024
IPS,NORAM,Manufacturing,Springfield,71%,0%,0%,24%,2024
IST,EUROPE,SC,Stavanger,79%,91%,100%,90%,2024
IST,EUROPE,SC,Strängnäs,86%,55%,33%,58%,2024
IST,EUROPE,SC,Tewkesbury,71%,73%,33%,59%,2024
IST,APAC,Office,Tokyo,36%,27%,0%,21%,2024
IST,EUROPE,Manufacturing,Vitré,43%,82%,0%,42%,2024
IPS,EUROPE,Office,Wokingham,86%,91%,67%,81%,2024
IST,LATAM,Manufacturing,Yumbo,71%,0%,0%,24%,2024
